Lift[N], moment[Nm], shear[N], torque[Nm], moment of inertia, polar moment of inertia
153441.20866643463, 14612044.245132616, 1822905.6608440953, 1888540.987021717, 0.012035053881683418, 0.009189473404773362
145926.2956763046, 12817839.099567685, 1669464.4521776603, 1663416.377162494, 0.010164789278813258, 0.00789407223018695
138559.068365509, 11177434.00935884, 1523538.156501356, 1457943.9398190004, 0.008538979025695852, 0.006746730693339368
131339.52673404771, 9683183.274926478, 1384979.0881358467, 1271032.6260637871, 0.007131878638265387, 0.005734624644278673
124267.67078192088, 8327592.943726514, 1253639.561401799, 1101617.9681764, 0.005919787716533974, 0.004845674986956967
117343.50050912838, 7103320.810250375, 1129371.890619878, 948662.0796433793, 0.0048809413146476965, 0.004068526105098217
110567.01591567026, 6003176.4160250155, 1012028.3901107495, 811153.655158261, 0.003995404207019644, 0.0033925242681092133
103938.21700154652, 5020121.049612897, 901461.3741950792, 688107.9706215762, 0.0032449680505398306, 0.0028076960170121384
97457.10376675709, 4147267.746611997, 797523.1571935327, 578566.8831408506, 0.0026130514428620525, 0.0023047265303771406
91123.67621130214, 3377881.2896558135, 700066.0534267756, 481598.83103060495, 0.0020846028767676824, 0.0018749379702333803
84937.93433518149, 2705378.208413358, 608942.3772154734, 396298.83381235535, 0.0016460065906063449, 0.001510267807936836
78899.87813839527, 2123326.7795891566, 524004.4428802921, 321788.49221461243, 0.0012849913148135737, 0.001203247129973331
73009.50762094338, 1625447.0269232586, 445104.5647418968, 257215.98817288197, 0.000990541914505337, 0.0009469789236750105
67266.82278282588, 1205610.7211912186, 372095.05712095345, 201756.08482966488, 0.0007528139281495289, 0.0007351163428286374
62176.50303176814, 857841.3802041165, 304828.2343381276, 154610.1265344569, 0.0005857816792811425, 0.0005781995808365844
57627.78410826939, 576573.5478542608, 242651.7313063594, 114722.3736890487, 0.00046639369268856455, 0.00046035689943100606
53079.06518477063, 356855.1680226, 185023.94719809003, 81210.11459101412, 0.0003644405587351478, 0.00035972340165896433
48530.34626127189, 194012.4320152385, 131944.8820133194, 53527.54845672258, 0.0002785460967234153, 0.0002749407194960223
43981.627337773134, 83371.53113828134, 83414.53575204752, 31128.874502543462, 0.00020733412595589008, 0.0002046504849177424
39432.90841427438, 20258.65669783339, 39432.90841427438, 13468.291944846136, 0.0001494284657350952, 0.00014749432989968783
